Job ID,Language,Level
1,English,B2
3,English,B2
5,English,B2
7,Polish,C2
9,English,B2
10,English,B2
11,Polish,B2
11,English,B2
12,Polish,C1
12,English,B2
13,English,C1
14,English,C1
15,English,C1
20,Polish,C1
20,English,C1
21,English,B2
26,English,C1
27,Polish,C2
27,English,B2
28,English,B2
29,English,B2
30,English,C1
32,English,B2
33,English,B2
33,Ukrainian,C1
34,English,B2
35,Polish,C1
35,English,B2
37,English,B2
39,Polish,C1
39,English,B2
40,English,B2
44,Polish,C2
44,English,B2
45,Polish,C2
45,English,C1
46,English,B2
51,English,B2
52,Polish,B2
53,English,B2
54,English,C1
55,Polish,C2
56,English,C1
57,English,C1
58,English,C1
60,English,B2
61,English,B2
61,Polish,B2
64,English,C1
68,English,C1
70,English,B2
71,English,C1
72,English,B2
73,Polish,B2
74,English,B2
76,English,B2
76,Polish,B2
79,English,B2
80,English,B2
81,Polish,C2
82,English,B2
83,English,B2
85,English,C1
86,English,B2
87,English,B1
88,Polish,B2
88,English,B2
89,English,C1
90,English,B2
92,English,B2
93,English,B2
95,English,B2
96,Polish,C1
96,English,B2
99,English,B2
100,Polish,C2
101,English,C1
102,English,C1
102,German,B1
104,Polish,C1
104,English,C1
105,English,C1
106,Polish,B2
106,English,B2
107,English,C1
108,English,B2
111,English,B2
113,Polish,C1
114,English,B2
117,English,B2
118,English,B2
120,Dutch,C1
121,English,B2
122,Polish,B2
122,English,B2
123,English,C1
124,Polish,C1
124,English,B2
125,Polish,C1
125,English,C1
126,English,B2
127,English,B2
128,English,B2
128,Polish,C1
130,Polish,C2
135,English,C1
137,English,C1
138,English,B2
139,English,B2
140,Polish,C2
141,English,C1
144,English,C1
146,English,B2
148,English,B2
149,English,C1
152,Polish,B2
152,English,B2
153,English,B2
154,English,B2
156,French,B2
156,English,B2
159,English,B2
161,English,C1
162,English,B2
164,English,C1
165,English,C1
166,English,C1
167,English,B2
168,English,B2
169,Polish,C1
170,Polish,C1
172,English,C1
172,Turkish,C1
175,Polish,C1
175,English,B2
176,English,B1
176,Polish,B1
177,English,C1
178,English,B2
179,Polish,C2
179,English,B2
182,English,B2
184,English,C1
186,English,B1
187,English,C1
189,English,B2
190,Polish,B2
190,English,B2
192,Polish,B2
192,English,B2
193,English,C1
195,English,C1
198,English,B2
199,English,B2
200,English,C1
202,English,C1
203,Polish,C1
203,English,B2
204,English,C1
206,English,B2
207,English,B2
209,English,C1
210,Polish,C1
211,English,B2
212,English,B2
213,English,B2
215,Polish,C2
215,English,B1
216,Polish,C1
220,English,B2
222,English,C1
225,English,B2
226,English,C1
227,English,B2
229,English,C1
230,English,B2
234,English,B2
236,English,B2
237,English,C1
238,English,B2
239,English,B2
242,English,B2
242,Polish,C2
243,English,B2
246,Polish,C1
246,English,C1
247,English,B2
248,English,B2
249,English,C1
251,English,C1
252,Polish,C2
252,English,B1
253,English,C1
254,English,C1
257,English,B2
258,English,B2
259,Polish,C1
259,English,B2
260,English,B2
262,English,B2
264,Polish,C2
264,English,C1
266,Polish,C1
268,English,C1
269,English,B2
270,English,C1
273,English,B2
274,Polish,C2
274,English,B2
275,Polish,C1
276,English,B2
278,Polish,C1
279,English,C1
280,English,C1
281,Polish,C1
282,English,B2
284,English,C1
285,English,B2
287,English,B2
289,Polish,C2
289,English,B1
290,English,C1
291,English,B2
293,English,C1
295,English,C1
297,English,B2
299,Polish,C2
299,English,B2
302,English,B2
303,English,B2
304,Polish,B2
304,English,C1
305,English,B2
306,English,A1
307,English,B2
310,English,C1
312,English,C1
313,English,B2
314,English,C1
314,Polish,C2
315,Polish,C1
315,English,B2
316,English,C1
317,English,B2
318,English,B2
322,English,B2
323,English,B1
323,Polish,C2
324,English,B2
325,English,C1
326,Polish,C2
327,English,C1
328,English,B2
330,English,C1
331,English,B2
332,English,B2
333,English,C1
333,Polish,C1
335,English,B2
337,English,C1
343,English,B2
344,English,B2
345,Polish,C1
345,English,C1
347,English,C1
349,Polish,C2
349,English,B2
351,English,B2
353,Polish,C1
353,English,B2
356,English,B2
357,English,C1
358,English,B2
359,English,B2
360,Polish,C1
360,English,C1
362,English,B2
365,Polish,C1
365,English,B2
366,Polish,C2
367,English,B2
368,English,B2
369,Polish,B2
369,English,C1
372,English,B2
373,Polish,B2
373,English,B2
374,English,B2
375,Polish,B2
375,English,B2
377,English,B2
377,Polish,B2
378,Polish,B2
378,English,B2
380,German,B2
382,English,B2
383,English,C2
384,Polish,C2
384,English,C1
387,English,C1
387,Polish,C1
388,English,C1
390,English,B2
391,English,C1
392,English,C1
394,Polish,C1
394,English,B2
395,English,C1
398,English,C1
399,English,B2
401,Polish,B2
401,English,B2
402,Polish,C1
402,English,C1
403,English,C1
406,Polish,B2
406,English,B2
407,English,B2
409,English,B2
410,Polish,B2
410,English,C1
411,English,C1
411,Polish,C1
412,Polish,B2
412,English,B2
414,English,B2
415,Polish,C2
415,English,B2
416,English,B2
417,English,B2
418,English,B2
419,English,C1
420,English,C1
421,English,B2
422,English,C1
422,German,C1
424,Polish,C1
424,English,B2
426,English,B2
429,Polish,C2
429,English,B2
432,English,B2
434,English,C1
434,Polish,C1
435,English,C1
435,German,C1
436,English,B2
437,English,C1
438,English,B2
440,English,C1
442,English,B2
445,English,B2
446,Polish,C1
446,English,B2
447,English,C1
449,English,B2
449,Spanish,C1
451,Polish,C1
451,English,B2
456,English,B2
457,English,C1
458,English,B2
460,Polish,C2
461,English,C1
462,English,B2
464,English,B2
465,Polish,C1
465,English,B2
467,English,C1
469,English,B2
471,Polish,C1
472,English,B2
474,English,C1
476,Polish,C2
476,English,B2
477,English,B2
479,English,B2
480,English,B2
481,English,C1
484,English,C1
485,English,B2
488,English,B2
489,Polish,C1
490,English,B2
491,English,C1
493,English,B2
494,English,C1
495,Polish,C1
495,English,B2
496,English,C1
497,Polish,C1
497,English,C1
500,English,C1
501,English,B2
502,Polish,C2
502,English,B2
505,English,C1
506,English,B2
509,Polish,B2
509,English,B2
510,English,B2
511,English,B2
511,French,B2
513,Polish,C1
513,English,C1
514,English,B2
515,English,B2
516,English,B2
517,Polish,C1
517,English,C1
518,English,B2
520,English,C1
522,English,B2
523,English,C1
524,English,C1
525,English,C1
526,English,B1
528,English,C1
528,Polish,C1
531,Polish,C1
533,English,C1
535,English,C1
535,Polish,B2
537,English,C1
538,English,B2
541,English,B2
541,Polish,B2
542,English,B2
543,English,C1
544,English,B2
545,English,B2
547,Polish,C2
547,English,B2
549,English,B2
550,English,B2
551,English,C1
557,English,C1
558,English,C1
561,Polish,C1
561,English,B2
562,Polish,C1
562,English,B2
563,English,C1
565,English,B2
566,English,C1
567,English,C1
569,Polish,B2
569,English,B2
570,English,C1
571,Polish,C2
575,English,B2
577,Polish,C2
577,English,B2
578,English,B2
579,Polish,C2
579,English,B2
580,English,B2
581,Polish,B2
581,English,B2
582,English,C1
582,Polish,C1
583,English,C1
583,Polish,C1
585,English,C1
586,English,C1
587,English,C2
588,English,B2
590,Polish,C1
591,English,B2
593,English,B2
594,English,C1
594,Polish,B2
595,English,B2
596,English,B2
598,English,B2
599,Polish,B2
599,English,B2
602,English,B2
604,English,B2
605,English,B2
606,English,B2
607,Polish,C2
607,English,B2
608,English,C1
610,English,C1
610,Hebrew,C1
611,Polish,B2
611,English,C1
613,English,B2
614,English,B2
615,English,B2
617,English,B2
617,Polish,C1
618,English,C1
619,English,B2
620,English,C1
623,English,C1
624,Polish,C2
624,English,B2
626,English,C1
627,Polish,B2
627,English,C1
628,English,B2
629,English,C1
630,Polish,C2
631,Polish,C1
631,English,B2
632,English,B2
633,English,C1
634,English,B2
634,Italian,C1
636,English,B2
637,English,B2
638,English,B2
640,English,C1
642,English,B2
643,English,B2
645,English,B2
646,English,C1
647,English,C1
648,English,B2
649,English,B2
653,English,C1
656,Polish,B2
656,English,C1
660,English,B2
661,English,B2
662,Polish,C2
662,English,B2
663,Polish,C2
663,English,C1
664,Polish,C1
664,English,B2
665,English,B2
666,Polish,C1
666,English,C1
667,Polish,C1
668,English,B2
668,Polish,C2
