Job ID,Language,Level
0,English,B2
1,English,C1
2,English,B2
4,English,B2
5,English,B2
6,Polish,C2
7,English,B1
8,English,B2
9,English,C1
10,Polish,C1
10,English,C1
12,Polish,C1
13,Polish,C2
13,English,B1
14,English,C1
15,Polish,C2
16,Polish,C1
16,English,C1
17,English,B2
18,Polish,B2
18,English,B2
19,English,C1
20,English,C1
21,English,B2
22,English,B2
23,English,C1
24,English,B2
28,English,C1
29,English,B2
30,English,C1
32,English,B2
34,Polish,C2
35,Dutch,C1
36,English,B2
37,English,C1
38,English,B2
42,English,C1
43,Polish,B2
43,English,B2
44,English,B2
45,English,C1
46,English,B2
47,English,C1
48,English,C1
48,Polish,C1
49,Polish,C2
50,English,B2
52,English,C1
53,English,B2
54,English,B2
55,English,C1
57,English,C1
57,Polish,C1
58,English,B2
60,English,B2
62,Polish,C2
62,English,C1
64,English,C1
65,English,B2
68,English,B2
72,Polish,C1
72,English,B2
73,English,B2
74,Polish,B2
74,English,B2
75,English,C1
75,Hebrew,C1
76,Polish,C2
76,English,C1
79,English,B2
80,English,B2
84,English,B2
86,Polish,C1
86,English,C1
87,Polish,C1
87,English,C1
94,English,C1
97,English,C1
99,English,C1
99,Polish,C1
103,English,C1
108,English,B2
110,English,C1
111,English,C1
111,Turkish,C1
112,English,C1
113,Polish,C2
114,English,B2
115,English,B2
116,English,B2
117,English,B2
118,Polish,C2
118,English,B2
121,English,B2
122,English,B2
123,English,C1
124,Polish,C1
124,English,B2
125,English,B2
126,Polish,C1
126,English,B2
128,English,C1
129,English,C1
135,Polish,C2
135,English,C1
136,English,C1
136,Polish,C1
139,English,B2
140,Polish,C2
140,English,B2
141,English,B2
142,English,B2
144,English,B2
145,English,C1
150,English,C1
150,Polish,C1
151,English,C1
152,English,B2
154,English,C1
155,English,B2
155,Spanish,C1
156,Polish,C2
156,English,C1
157,English,C1
158,English,B2
160,English,B2
161,English,B2
165,English,C1
165,Polish,C2
167,English,C1
168,Polish,C1
168,English,C1
169,English,B2
172,Polish,B2
172,English,B2
176,Polish,C1
176,English,B2
177,English,A1
178,Polish,B2
178,English,B2
179,English,C1
182,English,C1
183,English,B2
184,English,C1
185,Polish,B2
185,English,C1
186,English,C1
188,English,C1
189,Polish,B2
189,English,B2
190,Polish,B2
190,English,C1
191,English,C1
192,English,C1
193,Polish,C1
193,English,B1
194,English,B2
195,English,B2
197,Polish,C1
198,Polish,B2
198,English,B2
202,English,C1
204,English,B2
204,Polish,A2
208,English,C1
209,English,B2
210,English,B2
211,English,B1
211,Polish,B1
212,English,B2
213,English,B2
214,Polish,B2
214,English,B2
216,English,B2
217,Polish,C1
226,English,B1
226,Polish,C2
227,English,B2
230,English,C1
234,English,B2
234,Polish,C1
236,English,B2
237,Polish,C1
237,English,C1
240,English,B2
241,English,B2
242,English,C1
244,English,C1
245,English,B2
246,Polish,C1
246,English,B2
247,Polish,C2
247,English,B1
248,English,B2
249,English,B2
250,English,C1
253,English,B2
254,English,C1
255,English,B2
256,English,B2
258,Polish,C1
258,English,C1
260,German,C1
260,English,C1
262,English,B2
264,English,B2
266,English,C1
267,English,B2
268,English,C1
269,English,B2
271,English,B2
272,English,B2
272,Polish,B2
273,English,B2
274,Polish,C2
274,English,B2
275,Polish,C2
276,English,C1
278,Polish,C2
279,English,B2
280,English,B2
281,English,C1
282,English,B2
283,Polish,C1
283,English,B2
286,Polish,C2
286,English,B2
289,English,C1
290,English,C1
292,English,C1
294,English,C2
295,English,C1
298,English,B2
300,English,C1
302,English,C1
303,English,C1
305,Polish,B2
305,English,C1
307,English,B2
308,English,C1
309,Polish,C2
309,English,B2
310,English,C1
315,Polish,C1
315,English,B2
317,English,B2
317,Polish,C2
318,English,B2
319,English,C1
322,English,B2
323,English,B2
324,Polish,C1
324,English,C1
325,Polish,B2
326,English,C1
328,English,B2
330,Polish,B2
330,English,C1
331,English,B2
332,Polish,C1
333,English,B2
336,English,B2
337,Polish,C1
337,English,B2
338,Polish,C2
340,Polish,C2
340,English,B1
342,English,C1
343,English,B2
344,English,C1
344,Polish,B2
345,English,C1
346,Polish,C1
346,English,C1
347,English,C1
348,English,B2
349,English,C1
354,English,C2
355,English,C1
356,English,C1
358,English,C1
360,English,C1
361,English,B2
363,English,C1
363,German,C1
364,Polish,C2
365,Polish,B2
365,English,B2
366,English,C1
367,Polish,B2
367,English,B2
369,English,C1
372,English,C1
373,English,C1
373,Polish,C1
374,Polish,C1
375,Polish,C2
375,English,B2
376,English,B2
377,Polish,B2
377,English,B2
378,English,C1
379,English,B2
380,English,C1
381,English,B2
382,English,B2
383,English,B2
385,English,C1
387,English,B2
390,English,C1
392,English,B2
393,English,B2
394,Polish,C1
395,English,C1
396,English,B2
397,English,C1
398,English,B2
399,Polish,C1
400,English,B2
401,English,C1
401,German,B1
402,English,B2
404,English,C1
407,English,C1
408,Polish,C1
408,English,C1
412,English,B2
413,English,B2
414,English,C1
415,English,B2
416,English,B2
417,English,B2
418,English,B2
419,Polish,C1
419,English,B2
420,English,B2
422,English,B2
423,Polish,B2
423,English,B2
424,English,B2
424,Ukrainian,C1
425,English,B2
426,Polish,C1
426,English,B2
427,English,C1
428,English,B2
428,Polish,B2
429,English,C1
430,English,B2
431,English,C1
435,English,C1
435,Polish,C1
436,Polish,C1
436,English,C1
437,Polish,B2
437,English,B2
439,English,B2
440,English,C1
441,English,C1
441,Polish,C1
444,English,B2
445,Polish,C2
445,English,B2
446,Polish,C1
446,English,B2
448,English,B2
449,English,B2
452,English,B2
453,English,B2
454,Polish,C1
455,Polish,B2
457,English,B2
459,Polish,C1
459,English,B2
461,English,B2
462,English,C1
463,Polish,C1
463,English,B2
464,English,C1
465,English,B2
466,Polish,C2
466,English,B2
467,Polish,C1
471,English,B2
472,English,B2
473,English,B2
475,English,B1
476,English,B2
479,English,B2
480,English,B2
480,Polish,B2
481,English,B2
483,English,B2
484,English,B2
485,English,C1
487,English,B2
489,English,C1
490,English,B2
491,English,B2
493,Polish,B2
493,English,B2
497,English,B2
499,English,C1
500,English,B2
502,English,B1
503,English,B2
503,Italian,C1
504,Polish,B2
504,English,B2
506,English,A2
508,English,B2
511,English,C1
512,English,C1
515,English,C1
517,English,B2
519,Polish,C2
519,English,B2
520,English,B2
521,Polish,C1
521,English,B2
522,English,B2
524,English,B2
525,Polish,C2
525,English,B2
527,Polish,C1
527,English,B2
528,English,B2
529,English,B2
530,English,C1
531,Polish,C2
531,English,B2
533,Polish,C1
535,English,C1
540,English,B2
543,English,B2
544,Polish,C1
544,English,C1
545,English,B2
547,English,C1
548,Polish,C1
550,English,B2
551,Polish,C1
551,English,B2
553,English,B2
554,English,B2
555,English,B2
556,English,B2
557,English,C1
558,English,B2
559,English,B2
560,English,C1
560,German,C1
563,English,B2
565,English,B2
566,English,B2
567,English,B2
569,English,B2
571,Polish,C1
571,English,B2
573,English,B2
574,English,B2
575,English,B2
582,Polish,C2
582,English,B2
583,English,C1
585,Polish,C1
586,English,C1
587,English,C1
589,English,C1
590,English,B2
591,English,B2
592,English,C1
593,English,B2
594,English,C1
598,Polish,C2
599,English,C1
600,English,B2
601,Polish,C2
601,English,C1
602,English,B2
603,English,C1
604,English,C1
606,English,B2
606,French,B2
607,English,C1
608,English,B2
609,English,C1
611,English,B2
613,English,B2
614,English,C1
616,Polish,C2
616,English,B2
617,Polish,B2
617,English,C1
618,Polish,C1
619,English,B2
622,Polish,C1
622,English,B2
623,English,C1
624,English,B2
627,English,C1
629,English,B2
630,English,B2
632,English,C1
634,English,C1
635,English,C1
636,English,B2
638,English,B2
639,English,B2
640,Polish,C2
640,English,B2
641,English,C1
643,English,B2
645,English,B2
647,English,B2
649,English,B2
650,Polish,C1
652,English,B2
654,English,B2
654,Polish,B2
655,Polish,C1
655,English,C1
656,English,C1
658,English,B2
659,Polish,B2
659,English,B2
661,English,B2
663,English,B2
664,Polish,C1
664,English,B2
666,English,B2
667,Polish,C1
667,English,B2
668,English,C1
669,English,B2
