word,count
azure data,9
azure data factory,7
azure sql,8
baz oracle,10
bezpieczeństwa baz,9
brak dress,6
business intelligence,10
data factory,7
data guard,7
database administrator,11
database management,8
database performance,9
database systems,7
disaster recovery,9
dobra języka,11
dobra języka sql,8
dokumentacji technicznej,12
dress code,10
implementacji hurtowni,8
join team,7
języka angielskiego,14
języka sql,9
kontekście hurtowni,8
kontrakt b2b,7
kontroli wersji,13
kontroli wersji git,13
lat doświadczenia,8
lata doświadczenia,12
medical care,7
mile widziane,20
milionów transakcji,8
minimum lata,10
minimum lata doświadczenia,10
ms sql,17
ms sql server,8
najlepszych praktyk,8
naszego zespołu,7
naszych klientów,9
np postgresql,7
ochrony zdrowia,7
optymalizacja zapytań,7
optymalizacji zapytań,6
oracle sql,11
oracle sql server,9
performance tuning,11
pl pgsql,9
pl sql,38
pl sql sql,6
power bi,24
private medical,8
problem solving,9
procedur składowanych,12
procesów etl,9
projektowanie implementacja,9
remote work,8
rozwiązywania problemów,8
server mysql,9
setki milionów,8
setki milionów transakcji,8
sql pl,14
sql pl sql,9
sql procedur,10
sql server,29
sql server mysql,9
sql sql,13
tworzenie dokumentacji,9
tworzenie dokumentacji technicznej,8
udział projektach,7
umiejętność rozwiązywania,7
wersji git,13
work environment,7
współpraca zespołami,12
współpraca zespołami deweloperskimi,7
współpraca zespołem,7
wykształcenie wyższe,14
zakres obowiązków,10
zapytań sql,22
zapytań sql procedur,8
zarządzania kodem,8
zespołami deweloperskimi,8
